"state","with_kids","low_income","month","n_snap","month_num"
"Colorado",0,NA,"february",5213.20243554714,2
"Colorado",0,NA,"january",5309.33570679714,1
"Colorado",0,NA,"july",7741.03965198222,7
"Colorado",0,NA,"june",7692.82048402667,6
"Colorado",0,NA,"march",5248.11417758875,3
"Colorado",0,NA,"may",6378.43879301375,5
"Colorado",0,NA,"november",4829.21817474333,11
"Colorado",0,NA,"october",7275.79796958833,10
"Colorado",0,NA,"september",7976.01366690625,9
"Colorado",1,0,"april",25833.8690375778,4
"Colorado",1,0,"august",31105.5405815656,8
"Colorado",1,0,"december",4519.41565336,12
"Colorado",1,0,"february",16886.9916587137,2
"Colorado",1,0,"january",17120.5476359013,1
"Colorado",1,0,"july",29824.6493583533,7
"Colorado",1,0,"june",28640.6659934378,6
"Colorado",1,0,"march",22693.6075334133,3
"Colorado",1,0,"may",28291.6517773244,5
"Colorado",1,0,"november",28296.0708755133,11
"Colorado",1,0,"october",28744.549170745,10
"Colorado",1,0,"september",31490.4187102413,9
"Colorado",1,1,"april",70626.1033834911,4
"Colorado",1,1,"august",77975.7968102322,8
"Colorado",1,1,"december",56256.9561452,12
"Colorado",1,1,"february",62574.7301794133,2
"Colorado",1,1,"january",60110.1075588889,1
"Colorado",1,1,"july",76318.0151324678,7
"Colorado",1,1,"june",75187.2487302578,6
"Colorado",1,1,"march",66612.9485482633,3
"Colorado",1,1,"may",71849.8179559811,5
"Colorado",1,1,"november",94084.9755500133,11
"Colorado",1,1,"october",91523.9767953533,10
"Colorado",1,1,"september",75223.6546737537,9
"Colorado",1,NA,"april",23158.8608588167,4
"Colorado",1,NA,"august",34920.1563437678,8
"Colorado",1,NA,"december",11763.613156595,12
"Colorado",1,NA,"february",17321.4754395167,2
"Colorado",1,NA,"january",18862.7026060233,1
"Colorado",1,NA,"july",36671.8933861744,7
"Colorado",1,NA,"june",32142.68564255,6
"Colorado",1,NA,"march",21283.8253020911,3
"Colorado",1,NA,"may",29206.0918789789,5
"Colorado",1,NA,"november",26493.81638335,11
"Colorado",1,NA,"october",32971.79778848,10
"Colorado",1,NA,"september",32928.7995238837,9
"Connecticut",0,0,"april",20745.4684124267,4
"Connecticut",0,0,"august",24107.6527636611,8
"Connecticut",0,0,"december",7057.8200836,12
"Connecticut",0,0,"february",18673.7254467889,2
"Connecticut",0,0,"january",18470.6771770144,1
