"state","t","pebt","est_beneficiaries","application"
"Oregon",8,"0",351000,"none"
"Pennsylvania",8,"0",991843,"none"
"Rhode Island",8,"0",74622,"none"
"South Carolina",8,"0",467000,"none"
"South Dakota",8,"0",62000,"all_but_snap"
"Tennessee",8,"0",615610,"all_but_snap"
"Texas",8,"0",3641635,"all_but_snap"
"Utah",8,"1",75000,"all_but_snap"
"Utah",8,"0",75000,"all_but_snap"
"Vermont",8,"0",39000,"none"
"Virginia",8,"0",594494,"none"
"Washington",8,"0",560267,"all_but_snap"
"West Virginia",8,"0",204542,"none"
"Wisconsin",8,"0",438000,"all_but_snap"
"Wyoming",8,"0",36271,"all"
"Alabama",9,"0",461000,"none"
"Alaska",9,"0",73000,"all_but_snap"
"Arizona",9,"0",703000,"none"
"Arkansas",9,"0",303120,"none"
"California",9,"0",3927173,"all_but_snap"
"Colorado",9,"0",356099,"all_but_snap"
"Connecticut",9,"0",289407,"none"
"Delaware",9,"0",61602,"none"
"District of Columbia",9,"0",86415,"none"
"Florida",9,"0",2065374,"none"
"Georgia",9,"0",1100000,"all_but_snap"
"Hawaii",9,"0",93297,"none"
"Idaho",9,"1",130000,"none"
"Idaho",9,"0",130000,"none"
"Illinois",9,"0",1099786,"all_but_snap"
"Indiana",9,"0",588127,"none"
"Iowa",9,"0",249404,"none"
"Kansas",9,"0",169795,"all_but_snap"
"Kentucky",9,"0",601551,"all_but_snap"
"Louisiana",9,"0",732204,"all"
"Maine",9,"0",84000,"all_but_snap"
"Maryland",9,"0",430954,"none"
"Massachusetts",9,"0",522000,"none"
"Michigan",9,"0",829722,"none"
"Minnesota",9,"2",349952,"all_but_snap"
"Minnesota",9,"0",349952,"all_but_snap"
"Mississippi",9,"0",345827,"none"
"Missouri",9,"0",454690,"all_but_snap"
"Montana",9,"0",48385,"none"
"Nebraska",9,"0",156257,"all_but_snap"
"Nebraska",9,"1",156257,"all_but_snap"
"Nevada",9,"0",334000,"none"
"New Hampshire",9,"0",45190,"all_but_snap"
"New Jersey",9,"0",594207,"none"
"New Mexico",9,"0",245000,"none"
"New York",9,"0",2077711,"none"
"North Carolina",9,"0",903320,"none"
"North Dakota",9,"0",39760,"all_but_snap"
"Ohio",9,"0",850000,"none"
"Oklahoma",9,"2",312021,"none"
"Oklahoma",9,"0",312021,"none"
"Oregon",9,"0",351000,"none"
"Pennsylvania",9,"0",991843,"none"
"Rhode Island",9,"0",74622,"none"
"South Carolina",9,"0",467000,"none"
"South Dakota",9,"0",62000,"all_but_snap"
"Tennessee",9,"0",615610,"all_but_snap"
"Texas",9,"0",3641635,"all_but_snap"
"Utah",9,"0",75000,"all_but_snap"
"Vermont",9,"0",39000,"none"
"Virginia",9,"0",594494,"none"
"Washington",9,"0",560267,"all_but_snap"
"West Virginia",9,"0",204542,"none"
"Wisconsin",9,"0",438000,"all_but_snap"
"Wyoming",9,"0",36271,"all"
"Alabama",10,"0",461000,"none"
"Alaska",10,"1",73000,"all_but_snap"
"Alaska",10,"0",73000,"all_but_snap"
"Arizona",10,"0",703000,"none"
"Arkansas",10,"0",303120,"none"
"California",10,"0",3927173,"all_but_snap"
"Colorado",10,"0",356099,"all_but_snap"
"Connecticut",10,"0",289407,"none"
"Delaware",10,"0",61602,"none"
"District of Columbia",10,"0",86415,"none"
"Florida",10,"0",2065374,"none"
"Georgia",10,"0",1100000,"all_but_snap"
"Hawaii",10,"0",93297,"none"
"Idaho",10,"0",130000,"none"
"Illinois",10,"0",1099786,"all_but_snap"
"Indiana",10,"0",588127,"none"
"Iowa",10,"0",249404,"none"
"Kansas",10,"0",169795,"all_but_snap"
"Kentucky",10,"0",601551,"all_but_snap"
"Louisiana",10,"0",732204,"all"
"Maine",10,"0",84000,"all_but_snap"
"Maryland",10,"0",430954,"none"
"Massachusetts",10,"0",522000,"none"
"Michigan",10,"0",829722,"none"
"Minnesota",10,"0",349952,"all_but_snap"
"Mississippi",10,"0",345827,"none"
"Missouri",10,"0",454690,"all_but_snap"
"Montana",10,"0",48385,"none"
"Nebraska",10,"0",156257,"all_but_snap"
"Nevada",10,"1",334000,"none"
"Nevada",10,"0",334000,"none"
"New Hampshire",10,"0",45190,"all_but_snap"
"New Jersey",10,"0",594207,"none"
"New Mexico",10,"0",245000,"none"
"New York",10,"0",2077711,"none"
"North Carolina",10,"0",903320,"none"
"North Dakota",10,"0",39760,"all_but_snap"
"Ohio",10,"0",850000,"none"
"Oklahoma",10,"0",312021,"none"
"Oregon",10,"0",351000,"none"
"Pennsylvania",10,"0",991843,"none"
"Rhode Island",10,"0",74622,"none"
"South Carolina",10,"0",467000,"none"
"South Dakota",10,"0",62000,"all_but_snap"
"Tennessee",10,"0",615610,"all_but_snap"
"Texas",10,"0",3641635,"all_but_snap"
"Utah",10,"0",75000,"all_but_snap"
"Vermont",10,"0",39000,"none"
"Virginia",10,"0",594494,"none"
"Washington",10,"0",560267,"all_but_snap"
"West Virginia",10,"0",204542,"none"
"Wisconsin",10,"0",438000,"all_but_snap"
"Wyoming",10,"0",36271,"all"
"Alabama",11,"0",461000,"none"
"Alaska",11,"0",73000,"all_but_snap"
"Arizona",11,"0",703000,"none"
"Arkansas",11,"0",303120,"none"
"California",11,"0",3927173,"all_but_snap"
"Colorado",11,"0",356099,"all_but_snap"
"Connecticut",11,"0",289407,"none"
"Delaware",11,"0",61602,"none"
"District of Columbia",11,"0",86415,"none"
"Florida",11,"0",2065374,"none"
"Georgia",11,"0",1100000,"all_but_snap"
"Hawaii",11,"0",93297,"none"
"Idaho",11,"0",130000,"none"
"Illinois",11,"0",1099786,"all_but_snap"
"Indiana",11,"0",588127,"none"
"Iowa",11,"0",249404,"none"
"Kansas",11,"0",169795,"all_but_snap"
"Kentucky",11,"0",601551,"all_but_snap"
